Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
80,Bungalow 21,Théâtre de la Madeleine,<b>Du 14 septembre 2023 au 7 janvier 2024</b>,31 rue de la Gaité,Paris 14e,20-88 €,"(48.839499, 2.323534)",20.0,88.0,,54.0
81,Gargantua,Théâtre de Poche-Montparnasse,<b>Du 30 août 2023 au 24 décembre 2023</b>,31 rue de la Gaité,Paris 14e,24 €,"(48.839499, 2.323534)",,,24.0,24.0
82,Ce soir ou jamais,Théâtre Mélo d'Amélie,<b>Du 1 juillet 2023 au 30 avril 2024</b>,31 rue de la Gaité,Paris 14e,11-40 €,"(48.839499, 2.323534)",11.0,40.0,,25.5
83,Sherlock Holmes et le mystère de la vallée de Boscombe,Le Grand Point Virgule,<b>Du 12 juin 2021 au 28 avril 2024</b>,31 rue de la Gaité,Paris 14e,33 €,"(48.839499, 2.323534)",,,33.0,33.0
84,L'Effet miroir,Théâtre de l'Œuvre,<b>Du 12 octobre 2023 au 13 janvier 2024</b>,31 rue de la Gaité,Paris 14e,18-46 €,"(48.839499, 2.323534)",18.0,46.0,,32.0
85,Panique en coulisses,Théâtre des Variétés,<b>Du 27 septembre 2023 au 7 janvier 2024</b>,31 rue de la Gaité,Paris 14e,15-113 €,"(48.839499, 2.323534)",15.0,113.0,,64.0
86,Par ici la sortie,Théâtre Edgar,<b>Du 4 février 2023 au 11 mai 2024</b>,31 rue de la Gaité,Paris 14e,13-39 €,"(48.839499, 2.323534)",13.0,39.0,,26.0
87,Les Poupées persanes,La Pépinière Théâtre,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,31 rue de la Gaité,Paris 14e,33-70 €,"(48.839499, 2.323534)",33.0,70.0,,51.5
88,Les Poupées persanes,La Pépinière Théâtre,<b>Du 16 mai 2024 au 13 juillet 2024</b>,31 rue de la Gaité,Paris 14e,22-53 €,"(48.839499, 2.323534)",22.0,53.0,,37.5
89,Mata Hari ou la justice des hommes,Théâtre Montparnasse,<b>Du 31 août 2023 au 31 décembre 2023</b>,31 rue de la Gaité,Paris 14e,12-40 €,"(48.839499, 2.323534)",12.0,40.0,,26.0
90,La Puce à l'oreille,Comédie-Française - Salle Richelieu,<b>Du 19 septembre 2023 au 1 janvier 2024</b>,place Colette,Paris 1er,unknown,"(48.863335, 2.336271)",,,unknown,unknown
91,"Deux mains, la liberté",Studio Hébertot,<b>Du 14 octobre 2023 au 31 mars 2024</b>,place Colette,Paris 1er,16-22 €,"(48.863335, 2.336271)",16.0,22.0,,19.0
92,Biographie : un jeu,Théâtre Marigny,<b>Du 16 janvier 2024 au 17 mars 2024</b>,place Colette,Paris 1er,20-69 €,"(48.863335, 2.336271)",20.0,69.0,,44.5
93,Contes et légendes,Théâtre de la Porte Saint-Martin,<b>Du 10 janvier 2024 au 10 mars 2024</b>,place Colette,Paris 1er,29-51 €,"(48.863335, 2.336271)",29.0,51.0,,40.0
