Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
243;Van Gogh : Deux frères pour une vie;Guichet-Montparnasse;Du 8 septembre 2023 au 29 décembre 2023;15 rue du Maine;Paris 14e;12-24 €;2023-09-08;2023-12-29;12.0;24.0;;18.0;(48.840563, 2.322325)
244;S'abandonner à vivre;Théâtre de Poche-Montparnasse;Du 4 septembre 2023 au 29 janvier 2024;75 boulevard du Montparnasse;Paris 6e;24 €;2023-09-04;2024-01-29;;;24.0;24.0;(48.843728, 2.324991)
245;Le Bateau pour Lipaïa;Studio Hébertot;Du 26 octobre 2023 au 11 février 2024;78 bis bd des Batignolles;Paris 17e;22 €;2023-10-26;2024-02-11;;;22.0;22.0;(48.884747, 2.321188)
246;Conversation intime : Catherine Frot;Théâtre Antoine;Le 29 janvier 2024;14 boulevard de Strasbourg;Paris 10e;16-28 €;2024-01-29;2024-01-29;16.0;28.0;;22.0;(48.870599, 2.355207)
247;Prima Facie;Théâtre Montparnasse;Du 17 janvier 2024 au 30 mars 2024;31 rue de la Gaité;Paris 14e;12-37 €;2024-01-17;2024-03-30;12.0;37.0;;24.5;(48.839499, 2.323534)
248;Eleonora Galasso : Dévorante;Théâtre des Mathurins;Du 16 janvier 2024 au 26 mars 2024;36 rue des Mathurins;Paris 8e;20-30 €;2024-01-16;2024-03-26;20.0;30.0;;25.0;(48.873274, 2.325636)
249;Le Joueur d'échecs;Théâtre Darius Milhaud;Du 12 janvier 2024 au 29 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-12;2024-03-29;13.0;20.0;;16.5;(48.885938, 2.393208)
250;Je m’appelle Asher Lev;Théâtre des Béliers Parisiens;Du 12 janvier 2024 au 29 février 2024;14 bis rue Sainte-Isaure;Paris 18e;26-40 €;2024-01-12;2024-02-29;26.0;40.0;;33.0;(48.89371, 2.344278)
251;Le Journal d'Audrey Hepburn;Théâtre des Mathurins;Du 5 octobre 2023 au 30 décembre 2023;36 rue des Mathurins;Paris 8e;20-30 €;2023-10-05;2023-12-30;20.0;30.0;;25.0;(48.873274, 2.325636)
252;De Gaulle est de retour;Théâtre des Deux Ânes;Du 7 octobre 2023 au 25 février 2024;100 boulevard de Clichy;Paris 18e;22-33 €;2023-10-07;2024-02-25;22.0;33.0;;27.5;(48.884256, 2.331609)
253;Madame Marguerite;Théâtre L'Essaïon;Du 17 octobre 2023 au 17 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;11-28 €;2023-10-17;2024-01-17;11.0;28.0;;19.5;(48.859764, 2.353086)
254;Homini Lupus;Théâtre La Croisée des Chemins;Du 10 novembre 2023 au 30 décembre 2023;120 bis rue Haxo;Paris 19e;13-22 €;2023-11-10;2023-12-30;13.0;22.0;;17.5;(48.876727, 2.402335)
255;Puisque tu pars;Théâtre L'Essaïon;Du 24 janvier 2024 au 28 mars 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-01-24;2024-03-28;16.0;28.0;;22.0;(48.859764, 2.353086)
256;Colette, l’incorrigible… besoin d’écrire;À la Folie Théâtre;Du 1 décembre 2023 au 2 mars 2024;6 rue de la Folie-Méricourt;Paris 11e;18-24 €;2023-12-01;2024-03-02;18.0;24.0;;21.0;(48.861536, 2.374718)
257;Le Mariage de Figaro;Espace Marais;Du 30 septembre 2023 au 6 janvier 2024;22 rue Beautreillis;Paris 4e;13-37 €;2023-09-30;2024-01-06;13.0;37.0;;25.0;(48.853412, 2.364236)
